# theta phi range e3 ex4
8.697557500000000630e+01 1.205729200000000034e+01 4.829335799999999779e+01 9.200570000000000137e-01 4.593979999999999730e-01
8.651934400000000380e+01 3.364755460000000085e+02 4.025836600000000232e+01 7.243600000000000039e-01 7.878950000000000120e-01
8.815339400000000580e+01 2.147065819999999974e+02 3.888857900000000001e+01 6.914479999999999515e-01 -5.981500000000000011e-02
8.689414100000000474e+01 1.302694229999999891e+02 5.809033600000000064e+01 1.160657999999999967e+00 3.823489999999999944e-01
8.679524700000000337e+01 3.472495880000000170e+02 3.088510600000000039e+01 5.035610000000000364e-01 6.828619999999999690e-01
8.639629899999999907e+01 4.024677899999999653e+01 5.616636799999999852e+01 1.113509000000000082e+00 7.389719999999999622e-01
8.771065600000000018e+01 1.889625300000000152e+01 4.969442699999999746e+01 9.544610000000000039e-01 -9.081000000000000530e-03
8.623760199999999543e+01 3.322549309999999991e+02 3.576344000000000278e+01 6.170879999999999699e-01 9.424949999999999717e-01
8.738194900000000587e+01 1.905528319999999951e+02 3.762501300000000271e+01 6.612519999999999509e-01 3.579399999999999804e-01
8.856582000000000221e+01 1.362878289999999879e+02 3.816172799999999654e+01 6.740580000000000460e-01 -2.591539999999999955e-01
8.768354700000000435e+01 1.879421609999999987e+02 3.880474699999999899e+01 6.894400000000000528e-01 1.869969999999999966e-01
8.806345600000000218e+01 2.104781409999999937e+02 3.352925100000000214e+01 5.646630000000000260e-01 7.769299999999999817e-02
8.851445099999999400e+01 1.402165270000000135e+02 3.910553800000000280e+01 6.966489999999999627e-01 -2.533900000000000041e-01
8.806711900000000526e+01 3.852533100000000132e+01 2.752254900000000148e+01 4.275909999999999989e-01 1.606899999999999995e-01
8.894368000000000052e+01 2.257181510000000060e+02 5.107143599999999850e+01 9.883060000000000178e-01 -8.053230000000000111e-01
8.701833100000000343e+01 2.286991940000000056e+02 6.267056999999999789e+01 1.272269000000000094e+00 2.276690000000000103e-01
8.840147899999999481e+01 4.400349899999999792e+01 4.289173000000000258e+01 7.880740000000000522e-01 -2.763269999999999893e-01
8.746731900000000337e+01 3.382119430000000193e+02 5.259830000000000183e+01 1.025848000000000093e+00 9.159599999999999687e-02
8.775364500000000589e+01 3.351465069999999855e+02 4.239565400000000039e+01 7.760320000000000551e-01 9.347400000000000153e-02
8.746832100000000310e+01 7.059482000000000035e+00 5.383983500000000078e+01 1.056370000000000031e+00 6.950399999999999634e-02
8.844752300000000389e+01 1.735825660000000141e+02 3.185077300000000022e+01 5.257479999999999931e-01 -7.177999999999999658e-02
8.641195799999999849e+01 4.375752399999999653e+01 6.769402999999999793e+01 1.393145999999999995e+00 5.960509999999999975e-01
8.783618500000000040e+01 3.080136949999999842e+02 5.070881299999999925e+01 9.793910000000000116e-01 -1.058899999999999980e-01
8.715696099999999547e+01 2.312213270000000023e+02 6.205683199999999999e+01 1.257379000000000024e+00 1.396830000000000016e-01
8.717418100000000436e+01 3.437532249999999863e+02 5.303153900000000220e+01 1.036499999999999977e+00 2.716740000000000266e-01
8.765037700000000598e+01 3.510656740000000013e+02 4.417023700000000019e+01 8.191829999999999945e-01 1.223550000000000054e-01
8.724830500000000200e+01 3.126071999999999917e+01 5.105111899999999991e+01 9.878059999999999619e-01 2.545999999999999930e-01
8.836187099999999361e+01 1.975627900000000068e+02 4.072126399999999791e+01 7.355199999999999516e-01 -2.072950000000000070e-01
8.640556300000000078e+01 2.978575050000000033e+02 6.169108099999999695e+01 1.248493999999999993e+00 6.730469999999999509e-01
8.913443700000000547e+01 2.186927699999999959e+02 4.096820799999999707e+01 7.414809999999999457e-01 -6.309430000000000316e-01
8.731302100000000621e+01 3.476636299999999835e+01 3.362528199999999856e+01 5.669020000000000170e-01 4.312980000000000147e-01
8.801677399999999807e+01 3.210689009999999826e+02 6.323375399999999757e+01 1.285911999999999944e+00 -4.928150000000000031e-01
8.782114900000000546e+01 2.094577500000000114e+01 3.733301699999999812e+01 6.542980000000000462e-01 1.379269999999999941e-01
8.856166799999999739e+01 1.577575359999999876e+02 3.638230999999999682e+01 6.317249999999999810e-01 -2.179250000000000076e-01
8.772684800000000394e+01 3.482343940000000089e+02 4.141105999999999909e+01 7.521830000000000460e-01 1.241799999999999987e-01
8.820726899999999659e+01 2.126938799999999929e+01 3.818052500000000293e+01 6.745069999999999677e-01 -7.441200000000000592e-02
8.893569100000000560e+01 1.586048049999999989e+02 4.602937800000000124e+01 8.645800000000000152e-01 -6.598659999999999526e-01
8.735058700000000442e+01 2.291863130000000126e+02 6.556560100000000091e+01 1.342167000000000110e+00 -6.052400000000000141e-02
8.773781400000000019e+01 2.136089939999999956e+02 3.853058000000000050e+01 6.828760000000000385e-01 1.627750000000000030e-01
8.758627900000000466e+01 2.051800409999999886e+02 3.763317800000000091e+01 6.614470000000000072e-01 2.534199999999999786e-01
8.682966199999999901e+01 2.199230680000000007e+02 3.764256400000000014e+01 6.616699999999999804e-01 6.399569999999999981e-01
8.739322599999999852e+01 1.353331999999999979e+01 5.091243599999999958e+01 9.843969999999999665e-01 1.663389999999999869e-01
8.876957199999999659e+01 1.728414879999999982e+02 4.071587099999999992e+01 7.353899999999999881e-01 -4.270430000000000059e-01
8.776386700000000474e+01 1.109405300000000061e+01 3.840581799999999646e+01 6.798920000000000519e-01 1.511270000000000113e-01
8.939485500000000684e+01 1.634111350000000016e+02 3.841673399999999816e+01 6.801530000000000076e-01 -6.948819999999999997e-01
8.863029600000000130e+01 1.508261970000000076e+02 4.674234100000000325e+01 8.820310000000000095e-01 -4.991099999999999981e-01
8.649500500000000613e+01 4.981931099999999901e+01 5.038561399999999679e+01 9.714460000000000317e-01 7.308820000000000316e-01
8.663215800000000399e+01 2.355785549999999944e+02 5.189409299999999803e+01 1.008531999999999984e+00 6.304689999999999461e-01
8.630349499999999807e+01 1.920274099999999962e+01 4.372380799999999823e+01 8.083090000000000552e-01 8.901740000000000208e-01
8.752540999999999372e+01 5.857783200000000079e+01 4.921036800000000255e+01 9.425700000000000189e-01 1.127989999999999965e-01
8.966409099999999910e+01 8.508440999999999477e+00 3.397914200000000307e+01 5.751640000000000086e-01 -6.928459999999999619e-01
8.783893299999999726e+01 3.163539109999999823e+02 4.058405599999999680e+01 7.322100000000000275e-01 7.694600000000000051e-02
8.724809999999999377e+01 1.608229469999999992e+02 3.392005999999999943e+01 5.737839999999999607e-01 4.596870000000000123e-01
8.886179400000000328e+01 3.003389819999999872e+02 4.439727899999999750e+01 8.247170000000000334e-01 -5.730520000000000058e-01
8.731965399999999988e+01 2.091170549999999935e+02 5.127098500000000314e+01 9.932119999999999838e-01 2.066050000000000109e-01
8.988577100000000542e+01 1.767207190000000026e+02 3.334161699999999939e+01 5.602909999999999835e-01 -7.772540000000000004e-01
8.921769600000000366e+01 3.107927970000000073e+02 3.492129299999999859e+01 5.972480000000000011e-01 -5.055479999999999974e-01
8.656019799999999975e+01 3.435205139999999915e+02 5.086350199999999688e+01 9.831940000000000124e-01 6.859669999999999934e-01
8.680695699999999704e+01 2.001191220000000044e+02 3.634268500000000301e+01 6.307859999999999578e-01 6.587929999999999620e-01
8.740215899999999749e+01 1.311004289999999912e+02 5.850415799999999678e+01 1.170782999999999907e+00 3.114400000000000154e-02
8.712961199999999451e+01 3.045764899999999784e+02 6.644435599999999909e+01 1.363259999999999916e+00 8.541600000000000581e-02
8.667998900000000617e+01 2.290079969999999889e+02 6.656975699999999563e+01 1.366265000000000063e+00 4.133930000000000105e-01
8.646785800000000677e+01 1.336566139999999905e+02 4.255822500000000019e+01 7.799770000000000314e-01 8.041319999999999579e-01
8.666153400000000318e+01 3.100583260000000223e+02 6.791634500000000685e+01 1.398449000000000053e+00 4.079380000000000228e-01
8.881033200000000249e+01 2.008959250000000054e+02 4.452769399999999678e+01 8.278980000000000228e-01 -5.470669999999999700e-01
8.835365600000000086e+01 2.394134599999999935e+01 4.559771400000000341e+01 8.540240000000000054e-01 -3.097539999999999738e-01
8.590873000000000559e+01 3.286434729999999718e+02 6.909118899999999996e+01 1.426396999999999915e+00 9.555190000000000072e-01
9.023544300000000362e+01 4.109646800000000155e+01 3.086823899999999909e+01 5.031750000000000389e-01 -8.513840000000000297e-01
8.707008100000000184e+01 3.422049729999999954e+02 2.741378999999999877e+01 4.251699999999999924e-01 5.705759999999999721e-01
8.739157500000000312e+01 3.431595520000000192e+02 4.321285400000000010e+01 7.958779999999999744e-01 2.828510000000000191e-01
8.760479100000000585e+01 3.465243130000000065e+02 4.285751700000000142e+01 7.872430000000000261e-01 1.688139999999999918e-01
8.922649300000000494e+01 3.563783819999999878e+02 3.527487299999999948e+01 6.055669999999999664e-01 -5.195530000000000426e-01
8.634434500000000412e+01 1.832395459999999900e+02 3.045081899999999919e+01 4.936340000000000172e-01 8.823220000000000507e-01
8.793861499999999864e+01 2.036898539999999969e+02 4.027228699999999861e+01 7.246949999999999781e-01 2.876599999999999990e-02
8.641718299999999431e+01 3.456097819999999956e+02 4.305179400000000101e+01 7.919629999999999725e-01 8.296769999999999978e-01
8.947471299999999417e+01 1.750941970000000083e+02 4.094814300000000173e+01 7.409959999999999880e-01 -8.146309999999999940e-01
8.615375299999999470e+01 2.252048409999999876e+02 5.235257200000000211e+01 1.019805999999999990e+00 9.288769999999999527e-01
8.917918299999999476e+01 1.638661510000000021e+02 2.791799299999999917e+01 4.364140000000000241e-01 -3.062079999999999802e-01
8.627401700000000062e+01 3.335526239999999802e+02 4.923922999999999917e+01 9.432789999999999786e-01 8.756680000000000019e-01
8.648588300000000118e+01 3.693330600000000175e+01 5.882635700000000156e+01 1.178660999999999959e+00 6.502379999999999827e-01
8.894909400000000232e+01 2.152931399999999940e+01 4.000034300000000087e+01 7.181469999999999798e-01 -5.049780000000000380e-01
8.628794000000000608e+01 3.292503520000000208e+02 3.226082600000000156e+01 5.352149999999999963e-01 9.131789999999999630e-01
8.648364300000000071e+01 2.105112000000000094e+01 3.954207699999999903e+01 7.071279999999999788e-01 8.100140000000000118e-01
8.783031300000000385e+01 2.191313299999999842e+01 3.414368699999999990e+01 5.790119999999999711e-01 1.794860000000000066e-01
8.712913000000000352e+01 1.498253349999999955e+02 3.989486300000000085e+01 7.156090000000000506e-01 4.656310000000000171e-01
8.644575100000000134e+01 5.500824399999999770e+01 6.784066699999999628e+01 1.396644999999999914e+00 5.691310000000000535e-01
8.697262200000000121e+01 3.348690500000000014e+01 4.746967500000000229e+01 8.998530000000000140e-01 4.709820000000000118e-01
8.754964499999999816e+01 2.244174879999999916e+02 4.823720099999999888e+01 9.186790000000000234e-01 1.143630000000000063e-01
8.740009899999999732e+01 1.451454209999999989e+02 3.699825599999999781e+01 6.463379999999999681e-01 3.557069999999999954e-01
8.645285699999999451e+01 3.379053170000000250e+02 5.364507299999999645e+01 1.051582999999999934e+00 7.269750000000000378e-01
8.625225299999999606e+01 1.196489409999999936e+02 4.955228000000000321e+01 9.509689999999999532e-01 8.868390000000000439e-01
9.025641699999999901e+01 2.046296839999999975e+02 3.568867199999999684e+01 6.153229999999999533e-01 -1.039206999999999992e+00
8.865545699999999840e+01 3.464765859999999975e+02 3.128908500000000004e+01 5.128239999999999466e-01 -1.550040000000000029e-01
8.787403700000000129e+01 3.736287699999999745e+01 5.792565799999999854e+01 1.156627000000000072e+00 -2.775489999999999902e-01
8.752278099999999483e+01 9.423405000000000697e+00 4.585869999999999891e+01 8.604049999999999754e-01 1.688369999999999871e-01
8.860743300000000033e+01 3.514370220000000131e+02 3.340024499999999819e+01 5.616569999999999618e-01 -1.766189999999999982e-01
8.728421600000000069e+01 3.370858199999999982e+01 3.664161800000000113e+01 6.378709999999999658e-01 4.177799999999999847e-01
8.851495900000000461e+01 2.703562399999999855e+01 4.671860399999999913e+01 8.814499999999999558e-01 -4.304169999999999940e-01
8.717531300000000272e+01 3.249277640000000247e+02 5.676197200000000009e+01 1.128117000000000036e+00 2.133039999999999936e-01
8.722945400000000404e+01 3.181884039999999914e+02 4.570516899999999794e+01 8.566510000000000513e-01 3.418419999999999792e-01
8.767950299999999686e+01 2.084083349999999939e+02 3.977222600000000341e+01 7.126590000000000424e-01 1.749060000000000059e-01
8.874244899999999348e+01 1.991709040000000073e+02 4.618093799999999760e+01 8.682879999999999487e-01 -5.507800000000000473e-01
8.690844800000000703e+01 1.438328769999999963e+02 5.814826999999999657e+01 1.162076000000000109e+00 3.718440000000000079e-01
8.691557099999999991e+01 4.946757699999999858e+01 4.860227199999999925e+01 9.276379999999999626e-01 4.919540000000000024e-01
8.760813000000000272e+01 1.244141369999999966e+02 4.670578199999999924e+01 8.811360000000000303e-01 1.050460000000000005e-01
8.621216499999999883e+01 3.209624210000000062e+02 3.964535200000000259e+01 7.096090000000000453e-01 9.531389999999999585e-01
8.637757399999999564e+01 1.992605910000000051e+02 3.058411100000000005e+01 4.966769999999999796e-01 8.680780000000000163e-01
8.776942800000000489e+01 4.512430299999999761e+01 5.968255599999999816e+01 1.199573999999999918e+00 -2.427690000000000126e-01
8.731394000000000233e+01 1.567399870000000135e+02 4.095188799999999674e+01 7.410870000000000513e-01 3.548370000000000135e-01
8.910994399999999871e+01 3.471071789999999737e+02 5.009441600000000250e+01 9.642899999999999805e-01 -8.804739999999999789e-01
8.768790199999999402e+01 3.206859180000000151e+02 3.590855599999999725e+01 6.205159999999999565e-01 2.250089999999999868e-01
8.712618600000000413e+01 1.389234759999999937e+02 4.685506199999999666e+01 8.847920000000000229e-01 3.874049999999999994e-01
8.894321399999999755e+01 2.221828470000000095e+02 5.236661099999999891e+01 1.020151000000000030e+00 -8.417040000000000077e-01
8.621135999999999910e+01 3.430527399999999716e+02 4.691992299999999716e+01 8.863809999999999745e-01 9.273989999999999734e-01
8.664205200000000673e+01 5.531523099999999715e+01 5.923653600000000097e+01 1.188684000000000074e+00 5.386419999999999542e-01
8.687210899999999469e+01 3.434465480000000071e+02 4.888523699999999650e+01 9.345849999999999991e-01 5.150219999999999798e-01
8.792721099999999979e+01 2.988625539999999887e+02 5.174306099999999731e+01 1.004818999999999907e+00 -1.835910000000000042e-01
8.610428699999999935e+01 3.258922650000000090e+02 2.914131199999999922e+01 4.639019999999999810e-01 9.796550000000000535e-01
8.677351400000000581e+01 3.327002600000000143e+01 3.927854099999999704e+01 7.007999999999999785e-01 6.586969999999999770e-01
8.728194299999999828e+01 3.284661810000000060e+02 4.565008499999999714e+01 8.553049999999999820e-01 3.120729999999999893e-01
8.616307399999999461e+01 3.399880979999999795e+02 4.492012199999999922e+01 8.374730000000000230e-01 9.649280000000000079e-01
8.903375400000000184e+01 1.691983380000000068e+02 3.137149300000000096e+01 5.147169999999999801e-01 -3.273840000000000083e-01
8.646362000000000592e+01 3.422841779999999972e+02 4.501724699999999757e+01 8.398440000000000349e-01 7.916530000000000511e-01
8.895660200000000373e+01 1.512695720000000108e+02 3.963469599999999815e+01 7.093530000000000113e-01 -4.993520000000000181e-01
8.309513400000000161e+01 1.946271209999999883e+02 5.180454999999999899e+01 1.006331000000000087e+00 2.853657000000000110e+00
8.719147200000000453e+01 3.363010299999999830e+01 6.203048700000000082e+01 1.256739000000000051e+00 1.158140000000000003e-01
8.681816299999999842e+01 2.139943299999999908e+02 5.171039999999999992e+01 1.004016000000000020e+00 5.153590000000000115e-01
8.596179300000000012e+01 3.169054929999999786e+02 5.943848700000000207e+01 1.193616000000000010e+00 1.002596000000000043e+00
8.623825399999999775e+01 3.199796870000000126e+02 5.350384400000000085e+01 1.048111000000000015e+00 8.662570000000000547e-01
8.757601499999999817e+01 2.522807900000000103e+01 3.850400900000000348e+01 6.822399999999999576e-01 2.471629999999999938e-01
8.818463800000000674e+01 3.984383499999999856e+01 4.895040800000000303e+01 9.361859999999999626e-01 -2.838109999999999800e-01
8.727856099999999628e+01 2.307145439999999894e+02 5.410741800000000268e+01 1.062945999999999946e+00 1.877729999999999955e-01
8.968395999999999901e+01 3.433838589999999726e+02 2.774480099999999894e+01 4.325459999999999861e-01 -5.108080000000000398e-01
8.711284799999999962e+01 3.247396699999999896e+02 3.507069800000000015e+01 6.007609999999999895e-01 5.159949999999999815e-01
8.947946299999999553e+01 3.518425010000000270e+02 2.625855500000000120e+01 3.996029999999999860e-01 -3.857070000000000221e-01
8.775347700000000373e+01 3.703115600000000285e+01 3.506894499999999937e+01 6.007200000000000317e-01 2.040069999999999939e-01
8.714883299999999622e+01 1.311997700000000044e+01 4.222872100000000017e+01 7.719840000000000035e-01 4.301579999999999848e-01
